,Sulfur,Carbon,Hydrogen,H/C,MCR,Density,ACd (IR),LACAR (IR),Alf (IR),ACLg (IR),fah (13C RMN),CH2/CH3 (13C-RMN),Area 1–1.5 ppm (1H RMN)
C2T,1.47,85.93,12.43,1.72,5.7,19.3,0.68,0.45,0.41,2.26,0.14,0.7,57.75
C4T,1.54,85.7,12.16,1.69,5.5,19.2,0.72,0.48,0.4,2.33,0.17,0.85,58.06
C6T,1.53,86.1,12.52,1.73,8.3,17.7,0.73,0.49,0.31,2.46,0.16,0.73,56.33
T,2.12,85.35,11.61,1.62,18.3,11.6,0.97,0.3,0.33,2.25,0.27,0.71,56.54
R2T,2.23,85.88,11.21,1.56,19.4,11.9,1.06,0.29,0.34,2.37,0.23,0.68,49.23
R4T,2.47,86.1,11.25,1.56,24.7,9.2,1.16,0.26,0.33,2.39,0.25,0.71,54.04
R6T,2.73,85.47,10.15,1.42,29.5,5.7,1.26,0.21,0.26,2.31,0.31,0.68,49.87
C2G,1.41,85.71,11.76,1.63,4.6,15.5,0.77,0.25,0.36,1.77,0.18,0.41,49.53
C4G,1.39,85.83,11.89,1.65,5.3,15.7,0.8,0.25,0.38,1.82,0.2,0.48,51.22
C6G,1.41,86.03,12.16,1.68,7.2,15.1,0.8,0.26,0.31,1.83,0.15,0.55,51.26
G,1.77,85.98,10.88,1.51,18.3,9.9,1.06,0.22,0.27,1.94,0.24,0.55,48.97
R2G,1.91,86.22,10.73,1.48,23.6,7.6,1.16,0.21,0.33,1.94,0.25,0.63,46.81
R4G,2,85.5,10.72,1.49,27.1,6,1.13,0.21,0.29,1.97,0.25,0.59,48.39
R6G,2.07,85.7,10.18,1.42,29.2,4.6,1.24,0.18,0.3,1.99,0.27,0.61,46.89
C2R,1.49,86.96,11.04,1.51,10.4,10.2,0.93,0.15,0.31,1.57,0.22,0.33,45.07
C4R,1.52,86.76,11.61,1.59,8.7,10.7,0.9,0.15,0.34,1.59,0.2,0.38,43.7
C6R,1.45,86.52,11.81,1.63,9,10.5,0.92,0.15,0.33,1.61,0.22,0.39,45.77
R,2.11,87.34,9.52,1.3,35.1,2,1.31,0.12,0.26,1.69,0.38,0.4,41.59
R2R,2.15,86.52,9.02,1.24,38,0.4,1.36,0.12,0.25,1.72,0.36,0.41,41.45
R4R,2.23,86.98,9.04,1.24,41,-0.5,1.36,0.11,0.24,1.71,0.38,0.38,41.85
R6R,2.29,86.96,8.6,1.18,44.5,-2.1,1.36,0.11,0.23,1.67,0.39,0.38,41.22
